ID,Customer Name,Disabled,Sales Person (Sales Team),Contribution (%) (Sales Team),Commission Rate (Sales Team)
123 ELECTRONICS PTE. LTD,123 ELECTRONICS PTE. LTD,1,Mr. Deva,100,5%
"123 MOBILE PTE,LTD","123 MOBILE PTE,LTD",0,Mr. Deva,100,5%
123 MOBILE PTE. LTD.(JALAN),123 MOBILE PTE. LTD.(JALAN),1,Mr. Deva,100,5%
12HRS MONEY EXCHANGER,12HRS MONEY EXCHANGER,0,Mr. Deva,100,5%
369 Digital solutions,369 Digital solutions,0,Online,100,1%
663 PHONE CARDS,663 PHONE CARDS,1,Mr. Deva,100,5%
A ONE MINI MART PTE LTD,A ONE MINI MART PTE LTD,0,Changi,100,2%
"ABR Music Video Pte, Ltd.","ABR Music Video Pte, Ltd.",0,Mr. Deva,100,5%
AD ASTRA E-COM PTE. LTD.,AD ASTRA E-COM PTE. LTD.,0,Mr. Deva,100,5%
Adaptive Techsolutions Pte Ltd,Adaptive Techsolutions Pte Ltd,0,Mr. Deva,100,5%
AFRIN INTERNATIONAL PTE LTD,AFRIN INTERNATIONAL PTE LTD,1,Mr. Deva,100,5%
AHMED STORE,AHMED STORE,0,Mr. Deva,100,5%
AJIS STORE (MINIMART),AJIS STORE (MINIMART),0,Changi,100,2%
AJITS SUNDRY AND HOUSEHOLD TRADING,AJITS SUNDRY AND HOUSEHOLD TRADING,0,Changi,100,2%
AJMAL TRADING GROUP PTE LTD,AJMAL TRADING GROUP PTE LTD,0,Changi,100,2%
AKSHAYA EXIM PTE.LTD.,AKSHAYA EXIM PTE.LTD.,0,Changi,100,2%
AKTEL TRADING PTE LTD,AKTEL SOLUTIONS PTE LTD,0,Changi,100,2%
AMMA MOBILES,AMMA MOBILES,1,Mr. Deva,100,5%
ANNAI SUPER MART PTE. LTD.,ANNAI SUPER MART PTE. LTD.,0,Mr. Deva,100,5%
ANTECH INTERNET CAFE,ANTECH INTERNET CAFE,0,Mr. Deva,100,5%
ANUA XPRESS,ANUA XPRESS,0,Changi,100,2%
APec Beauty Enterprise,APec Beauty Enterprise,0,Changi,100,2%
ARS DIGITAL WORLD PTE. LTD.,ARS DIGITAL WORLD PTE. LTD.,0,Mr. Deva,100,5%
ARS DIGITEL WORLD PTE. LTD.,ARS DIGITEL WORLD PTE. LTD.,0,Mr. Deva,100,5%
ARUNA GRANDMART PTE. LTD.,ARUNA GRANDMART PTE. LTD.,0,Mr. Deva,100,5%
AT SYSTECH,AT SYSTECH,0,Mr. Deva,100,5%
AUROMA ELECTRONICS & COMPUTERS PTE. LTD.,AUROMA ELECTRONICS & COMPUTERS PTE. LTD.,0,Mr. Deva,100,5%
AVINAZ TRADING PTE. LTD.,AVINAZ TRADING PTE. LTD.,0,Changi,100,2%
AVM MOBILE,AVM MOBILE,0,Changi,100,2%
AYESHA SUPERMART PTE LTD,AYESHA SUPERMART PTE LTD,0,Changi,100,2%
"AZ TELECOMMUNICATIONS PTE,LTD.","AZ TELECOMMUNICATIONS PTE,LTD.",0,Mr. Deva,100,5%
BHAGAVAN TRADING(OHMS 84),BHAGAVAN TRADING(OHMS 84),0,Mr. Deva,100,5%
BLUE STAR BANANA LEAF RESTAURANT,BLUE STAR BANANA LEAF RESTAURANT,0,Changi,100,2%
BR MOBILES,BR MOBILES,0,Mr. Deva,100,5%
BRIGHT MOBILE SERVICES PTE. LTD.,BRIGHT MOBILE SERVICES PTE. LTD.,0,Mr. Deva,100,5%
BUY THE DRIVE,BUY THE DRIVE,1,Mr. Deva,100,5%
BUZZ (24HOURS),BUZZ (24HOURS),1,Mr. Deva,100,5%
CAPITAL TRADERS - 1,CAPITAL TRADERS,1,Mr. Deva,100,5%
CHANDUR IMPEX PTE LTD,CHANDUR IMPEX PTE LTD,1,Mr. Deva,100,5%
changi (model),changi (model),0,Mr. Deva,100,5%
"CHANGI TRAVEL SERVICES PTE,LTD","CHANGI TRAVEL SERVICES PTE,LTD",0,Mr. Deva,100,5%
CHENDUR MART,CHENDUR MART,0,Changi,100,2%
CHENNAI CASH & CARRY,CHENNAI CASH & CARRY,0,Changi,100,2%
CHENNAI EXPRESS PTE. LTD.,CHENNAI EXPRESS PTE. LTD.,0,Mr. Deva,100,5%
CHENNAI MOBILE TRADING PTE. LTD,CHENNAI MOBILE TRADING PTE. LTD,0,Mr. Deva,100,5%
COSMO GENERAL TRADERS PTE. LTD.,COSMO GENERAL TRADERS PTE. LTD.,0,Changi,100,2%
CRESCENT DIGITAL PTE LTD,CRESCENT DIGITAL PTE LTD,0,Mr. Deva,100,5%
CRESCENT ELECTRONICS PTE LTD,CRESCENT ELECTRONICS PTE LTD,0,Changi,100,2%
CRESCENT MOBILES PTE. LTD.,CRESCENT MOBILES PTE. LTD.,0,Mr. Deva,100,5%
CRESCENT MOBILES PTE. LTD. (Sungei Kadut),CRESCENT MOBILES PTE. LTD. (Sungei Kadut),0,Mr. Deva,100,5%
CSK ENTERPRISES PTE LTD,CSK ENTERPRISES PTE LTD,0,Changi,100,2%
CYBER JIP PTE LTD,CYBER JIP PTE LTD,0,Changi,100,2%
D & S IMPEX PTE. LTD.,D & S IMPEX PTE. LTD.,0,Mr. Deva,100,5%
DAILY PRICE FAIR,DAILY PRICE FAIR,0,Changi,100,2%
DANISHA TRADING PTE. LTD.,DANISHA TRADING PTE. LTD.,0,Changi,100,2%
DATA MOBILES,DATA MOBILES & TRADING PTE LTD,0,Mr. Deva,100,5%
DATA MOBILES & TRADING PTE LTD,DATA MOBILES & TRADING PTE LTD,0,Mr. Deva,100,5%
DD SUPER MARKET,DD SUPER MARKET,0,Changi,100,2%
"DELIGHT SUPERMART PTE,LTD","DELIGHT SUPERMART PTE,LTD",0,Changi,100,2%
DESSHI MOBILES & ACCESSORIES PTE. LTD.,DESSHI MOBILES & ACCESSORIES PTE. LTD.,0,Mr. Deva,100,5%
DIAMOND MOBILE PTE LTD,DIAMOND MOBILE PTE LTD,0,Mr. Deva,100,5%
DUTTA'S MINI MART,DUTTA'S MINI MART,0,Changi,100,2%
"EasyTopup Cloud Sales (Lazada, Shopee, Qoo10)","EasyTopup Cloud Sales (Lazada, Shopee, Qoo10)",0,Mr. Deva,100,5%
EasyTopup Solutions Pte Ltd,EasyTopup Solutions Pte Ltd,0,Mr. Deva,100,5%
ECO FRESH,ECO FRESH,0,Changi,100,2%
"EMIRATES INTERNATIONAL TRADING PTE ,LTD","EMIRATES INTERNATIONAL TRADING PTE ,LTD",0,Changi,100,2%
EMJAY ENTERPRISES PTE LTD,EMJAY ENTERPRISES PTE LTD,0,Mr. Deva,100,5%
EMPEROR,EMPEROR,0,Changi,100,2%
ERA Dept.Store,ERA Dept.Store,0,Changi,100,2%
EVERGREEN HANDPHONE SHOP.,EVERGREEN HANDPHONE SHOP.,0,Changi,100,2%
EVERYMAN SHOPPING,EVERYMAN SHOPPING,0,Mr. Deva,100,5%
EXPRESS AVENUE - 1,EXPRESS AVENUE,0,Changi,100,2%
EXPRESS IT SECURE PTE. LTD.,EXPRESS IT SECURE PTE. LTD.,0,Changi,100,2%
"Eye 2 Eye  Services Pte,Ltd","Eye 2 Eye  Services Pte,Ltd",0,Mr. Deva,100,5%
"FAHEEMAS TRADING PTE,LTD. (KRANJI)","FAHEEMAS TRADING PTE,LTD. (KRANJI)",0,Changi,100,2%
"FAHEEMAS TRADING PTE,LTD.(SOMERSET)","FAHEEMAS TRADING PTE,LTD.(SOMERSET)",0,Changi,100,2%
FAHEEMAS TRADING PTE. LTD.,FAHEEMAS TRADING PTE. LTD.,0,Mr. Deva,100,5%
"FAHEEMAS TRADINGPTE,LTD. ((PROMENADE)","FAHEEMAS TRADINGPTE,LTD. ((PROMENADE)",0,Changi,100,2%
FAHEMAS TRADING(88),FAHEMAS TRADING(88),0,Mr. Deva,100,5%
FAIRMART (TOA PAYOH),FAIRMART (TOA PAYOH),0,Changi,100,2%
"FAIRWAY MART PTE,LTD.","FAIRWAY MART PTE,LTD.",0,Changi,100,2%
Farmer,Farmer,0,Changi,100,2%
FERNVALE MINI- MART,FERNVALE MINI- MART,0,Changi,100,2%
FIS TRADING,FIS TRADING,0,Mr. Deva,100,5%
GLORY SUPERMART,GLORY SUPERMART,0,Changi,100,2%
GOLDEN SUPER MART PTE LTD,GOLDEN SUPER MART PTE LTD,0,Changi,100,2%
GRAND MOBILES PTE. LTD.,GRAND MOBILES PTE. LTD.,0,Mr. Deva,100,5%
GREENBERRY MINIMART PTE. LTD.,GREENBERRY MINIMART PTE. LTD.,0,Changi,100,2%
GS DIGITEL TRADING PTE LTD,GS DIGITEL TRADING PTE LTD,0,Mr. Deva,100,5%
GURU'S MARKETING,GURU'S MARKETING,0,Changi,100,2%
HAMLIMA&SONS,HALIMAH&SONS,0,Changi,100,2%
"HINEX TECHNOLOGY PTE,LTD.","HINEX TECHNOLOGY PTE,LTD.",0,Mr. Deva,100,5%
HI-TECH PHONE CENTRE PTE LTD,HI-TECH PHONE CENTRE PTE LTD,0,Changi,100,2%
ICARUS MOBILE TRADING,ICARUS MOBILE TRADING,0,Changi,100,2%
INDIAN MINIMART,INDIAN MINIMART,0,Mr. Deva,100,5%
INDIAN SILK STORE,INDIAN SILK STORE,0,Changi,100,2%
IT POINT HARWARE CONSULTANCY PTE LTD,IT POINT HARWARE CONSULTANCY PTE LTD,0,Mr. Deva,100,5%
IT WORLD INTERNET CAFE,IT WORLD INTERNET CAFE,0,Mr. Deva,100,5%
"IT WORLD ONLINE SERVICES & CONSULTANCY PTE,LTD. (VEERASAMY)","IT WORLD ONLINE SERVICES & CONSULTANCY PTE,LTD. (VEERASAMY)",0,Mr. Deva,100,5%
ITWORLD PTE LTD (BUFFALO),ITWORLD PTE LTD (BUFFALO),0,Mr. Deva,100,5%
ITWORLD PTE LTD (CLIVE),ITWORLD PTE LTD (CLIVE),0,Mr. Deva,100,5%
JAY SOFT TECHNOLOGY PTE LTD,JAY SOFT TECHNOLOGY PTE LTD,0,Mr. Deva,100,5%
JJ MART PTE. LTD.,JJ MART PTE. LTD.,0,Changi,100,2%
JNS MOBILE,JNS MOBILE,0,Changi,100,2%
JYP GADGETS,JYP GADGETS,0,Mr. Deva,100,5%
"KARUDA INTERNATIONAL PTE,LTD","KARUDA INTERNATIONAL PTE,LTD",0,Mr. Deva,100,5%
"KATBA IMPEX PTE,LTD.","KATBA IMPEX PTE,LTD.",0,Changi,100,2%
KATBA MART,KATBA MART,0,Changi,100,2%
KAVEEN PTE. LTD.,KAVEEN PTE. LTD.,0,Mr. Deva,100,5%
KAVI TRADERS PTE LTD,KAVI TRADERS PTE LTD,0,Changi,100,2%
Khadiza Enterprise Pte Ltd,Khadiza Enterprise Pte Ltd,0,Changi,100,2%
Kohinoor Department Store,Kohinoor Department Store,0,Changi,100,2%
Kohinoor Department Store - 1,Kohinoor Department Store,0,Changi,100,2%
"KOLAM TRADING PTE,LTD.","KOLAM TRADING PTE,LTD.",1,Mr. Deva,100,5%
KOORI MOBILE &TRADING,KOORI MOBILE &TRADING,0,Mr. Deva,100,5%
KPM PROVISIONS,KPM PROVISIONS,0,Changi,100,2%
"KS MOBILE PTE,LTD","KS MULTIMEDIA PTE,LTD",0,Changi,100,2%
KUOH ENTERPRISE,KUOH ENTERPRISE,0,Changi,100,2%
L9 COMMUNICATION - CONSIGNMENT,L9 COMMUNICATION - CONSIGNMENT,0,Mr. Deva,100,5%
L9 TECHNOLOGY PTE. LTD.,L9 TECHNOLOGY PTE. LTD.,0,Mr. Deva,100,5%
LATERALCO TRADERS PTE. LTD.,MEERAS MINIMART,0,Changi,100,2%
LEEDS SUPERMARKET PTE LTD,LEEDS SUPERMARKET PTE LTD,0,Mr. Deva,100,5%
"LEEDS SUPERMARKET PTE,LTD","LEEDS SUPERMARKET PTE,LTD",0,Mr. Deva,100,5%
LOOK JALA MOBILE SHOP,LOOK JALA MOBILE SHOP,0,Changi,100,2%
M.R. PROVISIONS,M.R. PROVISIONS,0,Changi,100,2%
"M.R.S.SHAMIR TRADING PTE,LTD.","M.R.S.SHAMIR TRADING PTE,LTD.",0,Changi,100,2%
MAB MINIMART,MAB MINIMART,0,Mr. Deva,100,5%
MADHA ENDERPRISE,MADHA ENDERPRISE,0,Changi,100,2%
MAHIRA MINIMART,MAHIRA MINIMART,0,Changi,100,2%
MAKENA'S MART,MAKENA'S MART,0,Changi,100,2%
MAMAK FRESH MINI MART,MAMAK FRESH MINI MART,0,Changi,100,2%
MANNAI TRADERS PTE LTD,MANNAI TRADERS PTE LTD,0,Mr. Deva,100,5%
"MANNAI TRADERS PTE.LTD,","MANNAI TRADERS PTE.LTD,",0,Mr. Deva,100,5%
MAS TECHNOLOGIES PTE LTD,MAS TECHNOLOGIES PTE LTD,0,Mr. Deva,100,5%
MAVELI  STORE,MAVELI  STORE ,0,Changi,100,2%
MG COMM,MG COMM,0,Changi,100,2%
MIRDHA ENTERPRISE,MIRDHA ENTERPRISE,1,Mr. Deva,100,5%
MKSN PTE.LTD.,MKSN PTE.LTD.,0,Changi,100,2%
"MNEXT XENAS TRADING PRIVATE LTD,(JALAN TUKANG)","MNEXT XENAS TRADING PRIVATE LTD,(JALAN TUKANG)",0,Mr. Deva,100,5%
MOBILE FIXER PTE LTD,MOBILE FIXER PTE LTD ,0,Changi,100,2%
MOBILE NETWORK,MOBILE NETWORK,0,Changi,100,2%
"MOBITEL TRADING PTE,LTD","MOBITEL TRADING PTE,LTD",0,Mr. Deva,100,5%
"MY SUPERMART PTE,LTD","MY SUPERMART PTE,LTD",0,Changi,100,2%
"MY SUPERMART PTE,LTD - 1","MY SUPERMART PTE,LTD",0,Changi,100,2%
Mya Myint Mo Pte. Ltd.,Mya Myint Mo Pte. Ltd.,0,Mr. Deva,100,5%
Nain International Trading Pte Ltd,Nain International Trading Pte Ltd,0,Mr. Deva,100,5%
NANAK ELECTRONICS & COMPUTERS ENTERPRISE,NANAK ELECTRONICS & COMPUTERS ENTERPRISE,0,Mr. Deva,100,5%
NAS INTERNATIONAL TRADERS,NAS INTERNATIONAL TRADERS,0,Mr. Deva,100,5%
NEXT XENAS TRADING  (Toh Guan),NEXT XENAS TRADING  (Toh Guan),0,Mr. Deva,100,5%
NEXT XENAS TRADING (Woodlands),NEXT XENAS TRADING (Woodlands),0,Mr. Deva,100,5%
"NEXT XENAS TRADING PRIVATE LTD, (Mandai)","NEXT XENAS TRADING PRIVATE LTD, (Mandai)",0,Mr. Deva,100,5%
NIDIN TRADERS PTE. LTD.,NIDIN TRADERS PTE. LTD.,0,Changi,100,2%
NIKITHA TRADING  SUPER MART,NIKITHA TRADING  SUPER MART,0,Changi,100,2%
"NISHA SUPERMART PTE,LTD","NISHA SUPERMART PTE,LTD",0,Changi,100,2%
OHMS  MOBILE SALES & SERIVICE (BUFFALO),OHMS MOBILE SERVICE PTE LTD (BUFF),0,Mr. Deva,100,5%
OHMS  SURIYA,OHMS MOBILE SERVICE PTE LTD (CHANDER ROAD),0,Mr. Deva,100,5%
OHMS IT SOLUTIONS PTE LTD,OHMS IT SOLUTIONS PTE LTD,0,Mr. Deva,100,5%
OHMS MOBILE (84),OHMS MOBILE (84),1,Mr. Deva,100,5%
Ohms Mobile (Chander Branch)  Service Center Pte Ltd,Ohms Mobile (Chander Branch)  Service Center Pte Ltd,0,Mr. Deva,100,5%
"OHMS MOBILE SERVICE CENTRE PTE,LTD. (138 SERANGOON RD)","OHMS MOBILE SERVICE CENTRE PTE,LTD. (138 SERANGOON RD)",0,Mr. Deva,100,5%
OHMS MOBILE SERVICE CENTRE PTE. LTD.(150 RC),OHMS MOBILE  PTE  LTD  (RACE COURSE),0,Mr. Deva,100,5%
OHMS SAI ENTERPRISE PET LTD (TOH GUAN),OHMS SAI ENTERPRISE PET LTD (TOH GUAN),0,Changi,100,2%
OHMS SAI ENTERPRISE PTE LTD,OHMS SAI ENTERPRISE PTE LTD,0,Mr. Deva,100,5%
"POORVIKA MOBILE TRADING PTE,LTD.(TUAS)",POORVIKA MOBILE TRADING PTE LTD,0,Mr. Deva,100,5%
POORVIKA MOBILES,POORVIKA MOBILES,0,Mr. Deva,100,5%
PREETHIKA MINIMART,PREETHIKA MINIMART,0,Mr. Deva,100,5%
PUSHPA TRADING PTE LTD,PUSHPA TRADING PTE LTD,0,Mr. Deva,100,5%
RAHMAN INT'L TRADING,RAHMAN INT'L TRADING,0,Changi,100,2%
RAINBOW,RAINBOW,0,Changi,100,2%
RAINBOW SUPER MART  PTE LTD,RAINBOW SUPER MART  PTE LTD,0,Changi,100,2%
RAJA KOMALAS,RAJA KOMALAS,1,Mr. Deva,100,5%
"RAMIYAA MARKTING PTE,LTD","RAMIYAA MARKTING PTE,LTD",0,Changi,100,2%
RAVI'S SUPERMART,RAVI'S SUPERMART,0,Changi,100,2%
REAL FRESH,REAL FRESH ,0,Changi,100,2%
REAS MOBILE SHOP,REAS MOBILE SHOP,0,Mr. Deva,100,5%
REDCOM MICROTEL INTERNATIONAL PTE. LTD.,REDCOM MICROTEL INTERNATIONAL PTE. LTD.,0,Mr. Deva,100,5%
REFRESH !!,REFRESH !!,0,Changi,100,2%
REVATHI MINIMART,REVATHI MINIMART,0,Changi,100,2%
RJN INTERNATIONAL,RJN INTERNATIONAL,0,Mr. Deva,100,5%
ROYAL MINIMART,ROYAL MINIMART,0,Mr. Deva,100,5%
RS MARINE AND INDUSTRIAL PTE. LTD.,RS MARINE AND INDUSTRIAL PTE. LTD.,0,Mr. Deva,100,5%
S Power Super Mart,S Power Super Mart,0,Changi,100,2%
S TWENTY 1 PTE. LTD.,S TWENTY 1 PTE. LTD.,0,Changi,100,2%
"S.M.TALHA TELECOM,PTE,LTD","S.M.TALHA TELECOM,PTE,LTD",0,Mr. Deva,100,5%
Sai DJ One Stop Solutions,Sai DJ One Stop Solutions,0,Changi,100,2%
SAI MART,SAI MART,0,Changi,100,2%
"SALAM NETWORKS PTE,LTD.","SALAM NETWORKS PTE,LTD.",0,Changi,100,2%
"SALAM@KINDER NETWORKS PTE,LTD.","SALAM@KINDER NETWORKS PTE,LTD.",0,Changi,100,2%
SARAVANA TRADING & SUPERMART PTE LTD,SARAVANA TRADING & SUPERMART PTE LTD,0,Changi,100,2%
SATHISHYADAV,SATHISHYADAV,0,Changi,100,2%
SATHYA TRADING PTE LTD,SATHYA TRADING PTE LTD,0,Changi,100,2%
SAVE MART,SAVE MART,0,Changi,100,2%
